,Mid-offspr,Male BD,Female BD
0,10.7,10.9,9.3
1,9.78,10.7,8.4
2,9.48,10.7,8.1
3,9.6,10.7,9.8
4,10.27,9.85,10.4
5,9.5,9.8,9.6
6,9.0,9.9,8.2
7,7.46,9.3,5.5
8,7.65,9.4,8.6
9,8.63,9.4,7.9
10,9.81,9.4,9.85
11,9.4,10.1,9.7
12,9.48,10.1,9.0
13,8.75,8.3,9.8
14,7.6,8.7,8.0
15,10.0,10.1,10.1
16,10.09,10.1,10.1
17,9.74,9.7,10.1
18,9.64,9.7,10.75
19,8.49,11.8,8.2
20,10.15,10.4,10.7
21,10.28,10.5,10.4
22,9.2,10.3,8.1
23,10.01,10.3,10.1
24,9.03,8.6,9.3
25,9.94,9.5,10.6
26,10.5,10.0,10.4
27,9.7,10.0,9.0
28,10.02,9.1,10.75
29,10.04,11.2,8.7
30,9.43,10.0,10.1
31,8.1,9.6,7.9
32,9.5,10.3,8.1
33,9.9,10.5,9.8
34,9.48,11.0,8.6
35,10.18,11.0,10.4
36,10.16,11.0,10.0
37,9.08,9.0,10.1
38,10.39,10.6,10.5
39,9.9,10.6,10.35
40,8.4,8.1,9.2
41,10.6,10.2,11.2
42,8.75,8.6,9.6
43,9.46,9.4,9.4
44,9.6,10.3,10.3
45,9.6,10.3,9.0
46,9.95,10.3,8.7
47,10.05,9.9,9.5
48,10.16,10.3,10.75
49,10.1,10.6,9.3
50,9.83,10.6,9.6
51,9.46,9.5,10.0
52,9.7,10.4,9.7
53,9.82,10.4,9.4
54,10.34,10.0,10.0
55,8.02,10.0,8.2
56,9.65,9.1,9.8
57,9.87,9.1,9.4
58,9.0,9.9,9.1
59,11.14,9.9,10.1
60,9.25,10.1,10.95
61,8.14,10.1,9.7
62,10.23,10.7,10.1
63,8.7,9.3,8.6
64,9.8,8.3,10.5
65,10.54,11.4,10.5
66,11.19,11.4,10.1
67,9.85,11.4,8.8
68,8.1,8.1,8.0
69,9.3,8.1,10.1
70,9.34,9.3,9.8
71,9.19,9.3,8.8
72,9.52,11.2,9.2
73,9.36,10.8,9.2
74,8.8,10.8,10.3
75,8.6,11.1,10.4
76,8.0,8.6,7.75
77,8.5,9.4,10.0
78,8.3,9.0,8.6
79,10.38,11.3,10.2
80,8.54,8.9,9.7
81,8.94,9.8,9.6
82,10.0,9.8,9.4
83,9.76,9.9,9.6
84,9.45,9.9,9.3
85,9.89,11.6,9.3
86,10.9,11.6,10.4
87,9.91,11.6,10.1
88,9.39,11.6,8.7
89,9.86,10.9,9.8
90,9.74,10.8,10.0
91,9.9,10.8,9.1
92,9.09,10.1,8.1
93,9.69,10.1,10.1
94,10.24,9.2,10.5
95,8.9,8.95,10.3
96,9.67,8.95,10.0
97,8.93,9.3,8.7
98,9.3,9.3,9.2
99,8.67,9.3,8.9
100,9.15,10.3,8.2
101,9.23,9.7,8.7
102,9.59,9.7,10.2
103,9.03,10.1,7.2
104,9.58,10.1,9.5
105,8.97,9.3,9.5
106,8.57,9.3,8.7
107,8.47,9.2,7.9
108,8.71,9.2,8.3
109,9.21,9.3,10.0
110,9.13,9.3,8.6
111,8.5,9.9,8.4
112,9.58,10.85,8.85
113,9.21,10.85,9.6
114,9.6,10.85,8.8
115,9.32,8.8,11.2
116,8.7,10.45,8.4
117,10.46,10.8,10.0
118,9.29,9.0,10.75
119,9.24,9.0,8.9
120,9.45,9.0,8.8
121,9.35,9.8,8.9
122,10.19,9.55,11.3
123,9.91,10.0,10.0
124,9.18,9.6,10.75
125,9.89,9.6,10.15
126,9.6,9.6,10.15
127,10.3,8.9,9.4
128,9.45,9.5,9.4
129,8.79,9.5,8.55
130,9.2,9.5,9.9
131,8.8,9.9,9.5
132,9.69,10.3,9.8
133,10.61,10.3,10.3
134,9.6,9.6,9.6
135,9.9,10.6,9.4
136,9.26,10.6,9.0
137,10.2,9.6,10.5
138,8.79,8.6,8.9
139,9.28,11.8,9.3
