,mid_parent,mid_offspring
0,8.3318,8.419
1,8.4035,9.2468
2,8.5317,8.1532
3,8.7202,8.0089
4,8.7089,8.2215
5,8.7541,8.3734
6,8.773,8.5025
7,8.8107,8.6392
8,8.7919,8.7684
9,8.8069,8.8139
10,8.6523,8.7911
11,8.6146,8.9051
12,8.6938,8.9203
13,8.7127,8.8747
14,8.7466,8.943
15,8.7504,9.0038
16,8.7805,8.981
17,8.7428,9.0949
18,8.7164,9.2696
19,8.8032,9.1633
20,8.8258,9.1785
21,8.856,9.1937
22,8.9012,9.2772
23,8.9125,9.0722
24,8.8635,8.9658
25,8.8258,8.9658
26,8.8522,8.5025
27,8.8974,8.4949
28,8.9427,8.4949
29,8.9879,8.5633
30,8.9615,8.6013
31,8.9238,8.6468
32,8.9351,8.1532
33,9.0143,8.3734
34,9.0558,8.662
35,9.0596,8.6924
36,8.9917,8.7456
37,8.905,8.8367
38,8.9314,8.8595
39,8.9465,8.9658
40,8.9879,8.9582
41,8.9804,8.8671
42,9.0219,8.8671
43,9.052,8.943
44,9.0407,9.0646
45,9.0407,9.1405
46,8.9955,9.2089
47,8.9992,9.2848
48,8.9992,9.3759
49,9.0747,9.4899
50,9.0747,9.4519
51,9.5385,8.1228
52,9.4781,8.2595
53,9.4517,8.3127
54,9.3537,8.4949
55,9.2707,8.6013
56,9.1199,8.4646
57,9.1689,8.5329
58,9.1425,8.7532
59,9.135,8.8823
60,9.1011,9.0342
61,9.1727,8.6392
62,9.2217,8.6772
63,9.2255,8.6316
64,9.2821,8.7532
65,9.3235,8.8291
66,9.3198,8.8975
67,9.3198,8.9734
68,9.3198,9.0494
69,9.3273,9.1253
70,9.3725,9.1253
71,9.3989,9.1253
72,9.4253,9.1785
73,9.4593,9.2848
74,9.4442,9.4595
75,9.4291,9.3608
76,9.2632,9.2089
77,9.2293,9.2544
78,9.1878,9.3684
79,9.1425,9.3684
80,9.1275,9.2316
81,9.1802,9.1709
82,9.1765,9.2316
83,9.2481,9.0342
84,9.2481,8.8899
85,9.1991,8.8291
86,9.1689,8.981
87,9.1765,8.8975
88,9.2406,10.4089
89,9.3198,10.1886
90,9.3235,9.7633
91,9.1991,9.7329
92,9.2971,9.6114
93,9.2443,9.5051
94,9.316,9.5127
95,9.2934,9.3684
96,9.3914,9.6266
97,9.3989,9.5354
98,9.5121,10.0215
99,9.6176,10.0215
100,9.5535,9.6266
101,9.4668,9.6038
102,9.3725,9.4063
103,9.3348,9.2316
104,9.3763,9.338
105,9.3839,9.262
106,9.4216,9.262
107,9.4065,9.4063
108,9.3348,9.4367
109,9.4442,9.0342
110,9.4367,8.943
111,9.5083,8.9203
112,9.448,8.7835
113,9.4781,8.7835
114,9.595,9.057
115,9.6101,8.9354
116,9.5686,8.8975
117,9.6365,8.8139
118,9.7119,8.8671
119,9.8213,9.0873
120,9.825,9.2848
121,9.7609,9.2392
122,9.6516,9.2924
123,9.5988,9.4063
124,9.546,9.3152
125,9.6516,9.4899
126,9.7572,9.5962
127,9.8854,9.6873
128,10.0023,9.5203
129,9.3914,9.6646
